"location","zipcode","urban","population","r_vote","migration"
"Alphaville","ZIP is  16663",0,164039,16.7314386917562,36.1836431344899
"Hilltop","ZIP is  18597",1,15690,-3.44732331341157,-7.07373967129786
"Innsmouth","ZIP:  14719",1,51682,-6.85568067190413,-10.8338795210407
"Alphaville","ZIP is  17023",0,164039,16.176341928711,37.4737764454015
"Gravity Falls","ZIP:  15255",1,24649,-4.81735883516649,-12.6534461369633
"Castle Rock","ZIP is  16475",1,65658,-8.44545978894112,-12.6507160579633
"Krasnoy","Zip  14483",1,113419,-12.7114565219126,-4.49655515863805
"Janestown","Zip  18868",1,3092,-2.25330198494573,-10.0542865938318
"Belleville","18024",1,57290,-7.38117508687737,-7.26847430471436
"Alphaville","ZIP is  18027",0,164039,13.8287591674275,3.6534200920063
"Ebbing","ZIP is  14278",0,83511,8.72724079476914,34.680848867264
"Gravity Falls","ZIP:  17742",1,24649,-2.76036720320742,2.40499655715124
"Castle Rock","Zip  16364",1,65658,-8.48711706955027,-11.7269634371978
"Flagstone","18618",1,106161,-11.643441067664,-2.29746035950902
"Gravity Falls","15151",1,24649,-4.3477390292864,-14.8562785995966
"Hilltop","Zip  14932",1,15690,-3.19219349142789,-5.69275194980932
"Janestown","ZIP is  18750",1,3092,-2.33730255744499,-9.84231724487322
"Innsmouth","Zip  18184",1,51682,-6.87507441835519,-9.21407299408009
"Krasnoy","ZIP:  14133",1,113419,-12.5067470293463,-11.3497487670101
"Gravity Falls","17597",1,24649,-3.07612595706107,2.79901229510515
"Janestown","ZIP:  18862",1,3092,-1.46278160026027,6.13103816365402
"Belleville","ZIP is  14302",1,57290,-7.53492625091971,-7.51959961289736
"Dogville","ZIP:  17071",0,25764,3.41714229873899,33.0520316319041
"Ebbing","ZIP:  14926",0,83511,7.58524866776853,17.6412003351172
"Krasnoy","ZIP:  16920",1,113419,-13.4957837515336,-14.5417438591096
"Innsmouth","Zip  16082",1,51682,-7.5368083074411,-15.5491480266438
"Ebbing","18321",0,83511,8.57286903182185,21.9077827169565
"Gravity Falls","Zip  16955",1,24649,-3.77668813594014,-3.50564594459924
"Janestown","Zip  15614",1,3092,-3.67598349369078,-22.1049743328316
"Belleville","ZIP:  15623",1,57290,-7.56618887667119,-11.3628310172343
"Innsmouth","ZIP is  17305",1,51682,-7.70532128426597,-24.83520115609
"Innsmouth","ZIP is  14858",1,51682,-7.14971641029827,-7.06499795182229
"Ebbing","ZIP:  18230",0,83511,8.46969229319837,24.1173059649979
"Alphaville","Zip  16254",0,164039,14.8417381088508,13.0056533920398
"Gravity Falls","15589",1,24649,-4.16535958116157,-2.93148002524907
"Gravity Falls","Zip  14898",1,24649,-3.87688066032523,-9.67768550612536
"Janestown","18368",1,3092,-2.35202469285994,0.929124676156608
"Belleville","ZIP:  14940",1,57290,-7.31557455517049,1.15533413335621
"Dogville","17415",0,25764,4.49268875074136,35.364756552591
"Krasnoy","ZIP is  15211",1,113419,-15.5875518748014,-35.6344758885561
"Krasnoy","ZIP:  18772",1,113419,-13.2454446939632,-18.7080108237845
"Krasnoy","ZIP:  17383",1,113419,-12.7510523844096,-7.04304683492867
"Gravity Falls","ZIP is  15282",1,24649,-2.99001207623053,4.73938132413149
"Krasnoy","Zip  16954",1,113419,-12.6619779946455,-11.069114481855
"Ebbing","Zip  16696",0,83511,9.13816636127216,29.2658557682893
"Alphaville","ZIP:  17313",0,164039,16.5407569016701,41.3977461145664
"Flagstone","18131",1,106161,-12.6984727340654,-13.040843978189
"Hilltop","ZIP:  18389",1,15690,-2.21868194768781,16.5331371850767
"Alphaville","ZIP:  15035",0,164039,17.0392868352264,38.7965264550805
"Krasnoy","Zip  15793",1,113419,-13.7886395609576,-18.5392794886971
"Alphaville","Zip  14628",0,164039,16.2410508827137,39.2811514980793
"Alphaville","ZIP is  16475",0,164039,15.7075311444624,25.8079194512937
"Gravity Falls","15812",1,24649,-3.38203862054868,3.94699212629794
"Hilltop","ZIP:  15481",1,15690,-3.77326636048215,-7.35201043175667
"Castle Rock","ZIP:  16686",1,65658,-6.39443903095336,17.8383925218338
"Innsmouth","ZIP is  15234",1,51682,-6.47185616520861,-1.88388108250917
"Dogville","ZIP is  17067",0,25764,2.9261349178953,29.3750959448119
"Dogville","ZIP:  15754",0,25764,4.38793445566616,38.1630158872081
"Gravity Falls","16421",1,24649,-3.04118718547803,7.77018019438318
"Flagstone","ZIP:  16103",1,106161,-12.7046363255949,-20.4847291269808
"Janestown","ZIP:  17734",1,3092,-1.61528779889916,16.5596438291153
"Gravity Falls","Zip  18442",1,24649,-4.21145764886715,-4.80143091608162
"Janestown","ZIP is  18614",1,3092,-1.83151226192423,1.53150735232134
"Dogville","ZIP is  18416",0,25764,2.27153553530559,15.2292449805674
"Gravity Falls","ZIP is  16821",1,24649,-4.30185402737953,-2.29693659852919
"Gravity Falls","ZIP is  14347",1,24649,-3.81596086023767,-4.75836979744804
"Hilltop","ZIP is  16320",1,15690,-4.29332901654271,-14.7227546033496
"Castle Rock","ZIP is  15500",1,65658,-8.37624200114837,-4.85279447044566
"Hilltop","ZIP is  16040",1,15690,-5.47976260340379,-18.0125484376149
"Dogville","ZIP is  14283",0,25764,3.15111179520447,31.1962780617566
"Dogville","15813",0,25764,0.830756156019204,12.7943574135627
"Alphaville","ZIP:  15696",0,164039,15.1568543849081,25.3123034127093
"Gravity Falls","ZIP is  15158",1,24649,-3.58627083557872,-4.41871911708611
"Alphaville","Zip  15680",0,164039,16.6952284646792,38.9158891462171
"Krasnoy","Zip  18851",1,113419,-13.4951268761169,-21.2074704478308
"Krasnoy","ZIP:  15255",1,113419,-13.7083658333737,-23.4834181455276
"Gravity Falls","ZIP:  14893",1,24649,-5.30192120579262,-18.5873382198945
"Dogville","ZIP is  18014",0,25764,1.53472371473258,4.44528026603394
"Alphaville","ZIP:  15681",0,164039,18.6416962096148,56.6244832239194
"Hilltop","ZIP:  16297",1,15690,-5.00686233275145,-27.6093447409882
"Janestown","ZIP is  14468",1,3092,-2.20362391548604,-3.65356141080761
"Hilltop","14442",1,15690,-3.66989933583284,-3.10052403341709
"Dogville","ZIP:  14173",0,25764,1.97980636719992,14.5721027573337
"Belleville","16219",1,57290,-7.31317713890162,-1.11647076676709
"Hilltop","18898",1,15690,-3.40811558803394,-9.00288097557737
"Flagstone","ZIP:  18585",1,106161,-13.0351650064753,-8.35784014064645
"Ebbing","ZIP is  16550",0,83511,7.49593523086979,14.524104785671
"Belleville","ZIP:  17312",1,57290,-7.96116737154454,-12.8288444161926
"Janestown","15974",1,3092,-2.75100098035569,-2.25622751028038
"Dogville","Zip  14496",0,25764,2.37908489567499,25.4875151558974
"Castle Rock","ZIP is  16622",1,65658,-8.51583371052028,-17.3436320443413
"Castle Rock","16768",1,65658,-8.97362929397182,-18.4553490304411
"Krasnoy","15656",1,113419,-13.9478805367786,-21.2999062073448
"Castle Rock","Zip  14932",1,65658,-8.95914711902068,-23.7008625987908
"Castle Rock","ZIP is  15247",1,65658,-6.93002502214636,-0.069920550055756
"Krasnoy","ZIP:  18652",1,113419,-12.9817614484986,-13.605283954438
"Alphaville","ZIP is  16965",0,164039,15.3602230867572,26.7122504539435
"Krasnoy","ZIP is  18747",1,113419,-13.472282016257,-23.3022378607247
"Janestown","ZIP is  16473",1,3092,-4.69610692643674,-40.7342844587316
"Alphaville","Zip  17777",0,164039,17.6771878966765,42.7368924044849
"Gravity Falls","Zip  18301",1,24649,-7.17078790568637,-30.7725076764074
"Dogville","ZIP is  17823",0,25764,2.57900409954271,20.9896631626058
"Ebbing","Zip  14815",0,83511,8.73446679989125,29.9040597361727
"Dogville","14682",0,25764,1.96662941649007,8.84081110689202
"Belleville","Zip  16744",1,57290,-7.22389724799902,-3.32916184246278
"Krasnoy","ZIP is  14836",1,113419,-13.7370135040916,-15.1421416469895
"Belleville","14983",1,57290,-7.51695969021248,-7.23692366639849
"Janestown","14189",1,3092,-1.28499002620308,9.93381506245661
"Janestown","Zip  16216",1,3092,-2.81912174059308,-12.8916036896738
"Alphaville","Zip  18937",0,164039,14.8877156155811,21.5824370529268
"Alphaville","Zip  15315",0,164039,15.2216685145253,21.1431451822502
"Innsmouth","ZIP is  18824",1,51682,-6.36365157036675,2.03076349699521
"Belleville","Zip  16675",1,57290,-8.16472932589659,-12.8417545778945
"Belleville","ZIP is  14139",1,57290,-8.04476248142815,-14.9187027863439
"Flagstone","ZIP is  14904",1,106161,-12.6058606224309,-9.74551075998941
"Janestown","14127",1,3092,-2.154530837362,-3.36031083565464
"Innsmouth","ZIP:  17652",1,51682,-5.23362507180023,13.3845446069977
"Belleville","15200",1,57290,-7.24257293901109,-7.28987106975855
"Hilltop","17520",1,15690,-2.41023919845528,2.8101030796537
"Flagstone","18827",1,106161,-12.2543113186055,-16.3222629112425
"Krasnoy","Zip  17129",1,113419,-14.685625085567,-30.0177217674872
"Hilltop","ZIP is  18281",1,15690,-4.26975555624735,-5.51138508554869
"Castle Rock","ZIP:  14788",1,65658,-9.12122907454946,-16.1178181117526
"Castle Rock","Zip  17907",1,65658,-8.47207437480187,-7.22206143841002
"Alphaville","ZIP is  18784",0,164039,16.9663420974818,37.4696710800368
"Dogville","16759",0,25764,1.94176769913153,16.1185099261199
"Hilltop","Zip  16031",1,15690,-4.10759348692163,-9.03109702565266
"Gravity Falls","ZIP:  14134",1,24649,-5.62141051766255,-17.5593625613612
"Castle Rock","ZIP:  16933",1,65658,-7.94039748436414,-8.44396616966737
"Dogville","Zip  15685",0,25764,2.11975084384101,16.6473637058181
"Flagstone","ZIP is  17823",1,106161,-12.9971898759356,-18.7869306009804
"Krasnoy","Zip  18301",1,113419,-11.9159808135716,-1.86034376807507
"Belleville","Zip  17287",1,57290,-8.63843170428752,-18.7341376727034
"Flagstone","Zip  16132",1,106161,-13.9276683785802,-37.3126157993005
"Castle Rock","Zip  18720",1,65658,-7.14628802128524,3.5435107681297
"Ebbing","ZIP:  15996",0,83511,7.8551896721373,22.2509983191686
"Castle Rock","Zip  14606",1,65658,-7.78692983731512,-6.19270762692503
"Janestown","17330",1,3092,-3.14662632915144,-16.3783939872587
"Hilltop","ZIP:  18881",1,15690,-4.76019947667795,-11.720015584294
"Belleville","ZIP is  14099",1,57290,-7.21130108888691,-4.59761899996745
"Hilltop","Zip  15580",1,15690,-3.01905205765547,4.3410761908436
"Janestown","15912",1,3092,-2.61147222843307,-5.39766003956361
"Belleville","ZIP:  15153",1,57290,-8.36903897678954,-19.3464320296306
"Castle Rock","ZIP is  15513",1,65658,-7.84981890154553,2.92829959727211
"Krasnoy","Zip  16433",1,113419,-13.0688262231037,-10.3350924511577
"Belleville","ZIP:  15073",1,57290,-8.40595140610278,-16.4584679472224
"Gravity Falls","ZIP:  17836",1,24649,-3.97656608780566,-3.47336620104477
"Belleville","17054",1,57290,-6.19717185942751,9.51998516778974
"Janestown","ZIP:  18200",1,3092,-3.37575952884322,-8.57683208555511
"Ebbing","Zip  15801",0,83511,9.27340035772448,35.195976761218
"Alphaville","ZIP:  17110",0,164039,16.0006332672697,32.7245313615053
"Janestown","ZIP:  17286",1,3092,-2.26863600403467,-6.89049064405545
"Innsmouth","Zip  15829",1,51682,-7.01651632364845,-13.4019415510739
"Belleville","ZIP:  15262",1,57290,-7.54110608125605,-5.30475566420776
"Belleville","ZIP:  17061",1,57290,-8.52222231455683,-26.5458623939866
"Ebbing","15726",0,83511,8.78146980190242,20.603811166899
"Flagstone","Zip  16789",1,106161,-13.0156045241817,-15.0298633608822
"Ebbing","ZIP is  16729",0,83511,8.39395260585574,22.338832287168
"Flagstone","Zip  15225",1,106161,-10.7704216642533,0.446820090283057
"Hilltop","ZIP is  14065",1,15690,-2.47712947925492,-1.84900060830177
"Janestown","Zip  17233",1,3092,-2.01575470978363,-3.87913225571095
"Ebbing","ZIP is  14310",0,83511,7.83832873079179,19.8235691348548
"Krasnoy","14264",1,113419,-13.8068432575738,-27.3395307245524
"Hilltop","ZIP is  18573",1,15690,-2.69913688915971,6.73101227100119
"Dogville","16219",0,25764,3.17071803458487,20.6919212838645
"Janestown","Zip  14240",1,3092,-0.501987674215894,3.73361325479591
"Flagstone","ZIP:  14991",1,106161,-12.3145330952746,-19.9236731894755
"Ebbing","15016",0,83511,8.13679152709068,22.7384525252513
"Hilltop","ZIP is  15522",1,15690,-3.28448631182622,-2.06451519737487
"Castle Rock","Zip  18332",1,65658,-10.0962167280727,-21.9847613109356
"Hilltop","ZIP:  17889",1,15690,-3.03046842619483,-4.95628992594828
"Flagstone","Zip  16390",1,106161,-12.419700709417,-9.53604917968038
"Alphaville","ZIP:  15639",0,164039,16.5007772860142,34.2918296563559
"Janestown","ZIP:  14147",1,3092,-1.55115850713736,-0.858827968697332
"Alphaville","15905",0,164039,15.5521404081168,30.0357346859266
"Ebbing","Zip  15732",0,83511,5.99345967061876,-1.84765190934604
"Krasnoy","Zip  14071",1,113419,-12.190021113959,-10.1107012557788
"Flagstone","ZIP is  18327",1,106161,-12.2931993980939,-11.0695078349427
"Belleville","ZIP:  18017",1,57290,-8.01749015726156,-10.4837511610074
"Janestown","18310",1,3092,-1.30218562809477,0.358206665838844
"Castle Rock","Zip  14821",1,65658,-9.81653545307202,-23.0849135313537
"Krasnoy","ZIP:  17981",1,113419,-13.8731797174728,-12.5205226073529
"Hilltop","ZIP is  15569",1,15690,-2.59295287984123,0.0676831196598233
"Hilltop","ZIP:  17100",1,15690,-3.33854521054265,-2.22302290402472
"Alphaville","Zip  18711",0,164039,15.7554740404636,32.1073760514736
"Castle Rock","15046",1,65658,-6.18058114012265,12.7977829222268
"Krasnoy","17857",1,113419,-13.3096899351383,-10.8732753286792
"Alphaville","15912",0,164039,16.8399213100697,33.9652361697186
"Flagstone","ZIP is  17317",1,106161,-12.7847375045701,-15.8798211588887
"Janestown","Zip  18553",1,3092,-4.27625567757298,-22.6918507505188
"Castle Rock","Zip  17435",1,65658,-8.82072814167022,-20.7878128182486
"Innsmouth","18843",1,51682,-8.9270245696331,-32.6985293418542
"Innsmouth","Zip  14235",1,51682,-5.88224097344794,-2.80686650179476
"Dogville","18248",0,25764,2.33626771504546,19.3301094813644
"Alphaville","ZIP:  17959",0,164039,15.8884917331831,25.7569463438006
"Innsmouth","ZIP:  17759",1,51682,-7.76592319184995,-13.2625918785209
"Castle Rock","15718",1,65658,-9.52521058504396,-22.9739409661925
"Belleville","14988",1,57290,-7.2459892080578,-5.82722033852466
"Janestown","ZIP:  18705",1,3092,-2.64025277899222,-9.37536187613509
"Flagstone","ZIP:  16342",1,106161,-12.5136529681141,-10.0179856499467
"Dogville","Zip  16014",0,25764,3.28962301367253,26.1601660904315
"Belleville","ZIP is  14927",1,57290,-8.04425247468004,-24.2930985166468
"Flagstone","14433",1,106161,-9.85855741048478,16.0599229007721
"Hilltop","ZIP is  16887",1,15690,-4.96091444229314,-24.8532092488105
"Ebbing","Zip  18631",0,83511,9.63290531118752,39.3179584900534
"Gravity Falls","ZIP:  15543",1,24649,-4.19654851764552,-1.43857798640265
"Belleville","ZIP is  14541",1,57290,-7.62947243797845,-13.4042062746329
"Gravity Falls","ZIP is  14622",1,24649,-5.49841857658889,-21.9729378378346
"Alphaville","ZIP:  18168",0,164039,16.4185911227303,26.061362960931
"Belleville","ZIP is  18324",1,57290,-7.8100021513695,-1.26156665877
"Gravity Falls","17239",1,24649,-4.7866068569392,-4.15385157609844
"Janestown","Zip  17201",1,3092,0.412129869295576,27.970143516685
"Flagstone","Zip  18461",1,106161,-13.3173199313535,-23.7892084654868
"Castle Rock","ZIP is  17340",1,65658,-8.04319141826248,-4.68516462728896
"Krasnoy","ZIP is  16335",1,113419,-13.5250674124636,-15.6731176355698
"Ebbing","Zip  15368",0,83511,6.06111092493264,7.33670199039202
"Hilltop","Zip  16106",1,15690,-3.91833497589286,-20.0310114938129
"Belleville","ZIP is  17715",1,57290,-8.30835759791362,-22.162849467259
"Innsmouth","ZIP is  15222",1,51682,-7.37105366102338,-13.7066183264345
"Alphaville","16747",0,164039,18.1152647226322,54.7746234574266
"Hilltop","14189",1,15690,-3.87900375155356,-8.04097652703351
"Dogville","14666",0,25764,2.23203043424207,21.3022418775146
"Dogville","ZIP is  14535",0,25764,1.53694637392554,7.31457062795662
"Castle Rock","17985",1,65658,-9.40983832858527,-17.377414309519
"Innsmouth","Zip  16915",1,51682,-8.70350096277463,-20.8016279646276
"Dogville","16512",0,25764,2.29404731836001,19.9521386458225
"Gravity Falls","Zip  16565",1,24649,-3.75988699627349,11.1226409318037
"Alphaville","Zip  14793",0,164039,17.3881127481954,45.317342619036
"Hilltop","ZIP is  18329",1,15690,-3.78035230631813,-11.1953694354426
"Alphaville","Zip  14002",0,164039,16.4587088926947,28.1400179572248
"Belleville","14869",1,57290,-5.75464652518988,1.80802429182223
"Flagstone","Zip  18571",1,106161,-12.5298505907154,-16.0514014265647
"Janestown","Zip  16392",1,3092,-1.54878129083297,5.70684138296598
"Alphaville","Zip  18819",0,164039,17.6766597225506,48.2953939054186
"Castle Rock","16244",1,65658,-7.59497873938866,-2.29674457682128
"Innsmouth","15539",1,51682,-7.05982131990242,-19.9736175846477
"Janestown","18790",1,3092,-2.47057855953857,-5.03260463200564
"Innsmouth","ZIP is  14422",1,51682,-6.51876038959616,-12.2811659859719
"Ebbing","ZIP:  18200",0,83511,8.75412944581331,32.804310012747
"Dogville","Zip  16106",0,25764,4.29900532418626,36.6525069451426
"Innsmouth","ZIP is  15394",1,51682,-7.28860765600245,-13.1320669702801
"Castle Rock","14583",1,65658,-9.70297656954402,-23.5321053235557
"Castle Rock","16469",1,65658,-7.54067968084064,0.490399266770802
"Flagstone","Zip  15323",1,106161,-13.1248216650462,-17.1599145490161
"Dogville","14311",0,25764,3.33772873247672,28.1927678464007
"Janestown","ZIP is  17166",1,3092,-2.05574915960455,2.15192062037941
"Ebbing","ZIP:  16778",0,83511,8.20341418255258,28.5960963595649
"Castle Rock","Zip  15962",1,65658,-8.60907088879264,-21.2551816888862
"Janestown","16508",1,3092,-2.22045571045825,-4.68820688132288
"Hilltop","ZIP:  16425",1,15690,-4.14291630448271,-1.35471617089911
"Hilltop","ZIP is  16101",1,15690,-1.76328635685674,3.80695107990195
"Flagstone","15566",1,106161,-11.8802001144634,-9.23844690348369
"Dogville","ZIP is  15756",0,25764,0.386192554329977,0.891699721057784
"Gravity Falls","17908",1,24649,-4.22672871630871,-7.88023877584458
"Ebbing","Zip  18872",0,83511,8.72769843336067,35.4400819288199
"Alphaville","15130",0,164039,15.0683930890702,21.8578663253022
"Gravity Falls","Zip  17399",1,24649,-4.37909838769213,-6.86389539496424
"Janestown","Zip  14073",1,3092,-3.0962322043936,-5.99440005391715
"Janestown","ZIP:  15486",1,3092,-2.52533883143187,-7.01657660656175
"Dogville","ZIP is  18420",0,25764,1.46698496163215,5.72984575067647
"Innsmouth","Zip  17145",1,51682,-7.45847501952083,-24.4255344706794
"Gravity Falls","Zip  14969",1,24649,-5.33591777259974,-15.9610874376507
"Belleville","ZIP:  16778",1,57290,-8.57545629950602,-21.2572212167867
"Dogville","ZIP is  16637",0,25764,-0.396956895059688,-14.1913825425216
"Ebbing","ZIP is  14935",0,83511,7.07067760512007,1.32257384890179
"Innsmouth","14663",1,51682,-6.74395749412988,-8.94864890818958
"Innsmouth","ZIP is  16728",1,51682,-7.65668944704944,-11.0407344441428
"Flagstone","Zip  16626",1,106161,-11.7718913299273,-9.14934638161474
"Hilltop","Zip  15180",1,15690,-5.53024311380474,-29.0137219834862
"Ebbing","ZIP is  14480",0,83511,8.99002461348268,29.2920559193051
"Janestown","18090",1,3092,-1.68885266145484,6.3205297283809
"Belleville","Zip  18500",1,57290,-5.48591817026196,8.19153722084781
"Hilltop","Zip  17063",1,15690,-4.39958168914995,-11.1009879560069
"Castle Rock","ZIP:  15125",1,65658,-7.0887056519478,6.93918894969914
"Dogville","16230",0,25764,1.50661678792522,18.3396880354886
"Castle Rock","17866",1,65658,-7.64512641970096,-9.95850278545188
"Belleville","14465",1,57290,-6.26943330130706,1.34248272283944
"Krasnoy","ZIP is  14455",1,113419,-13.359115963449,-13.7274695041501
"Belleville","15356",1,57290,-6.1615933082381,6.15684324579058
"Hilltop","ZIP:  16892",1,15690,-1.27481710699548,12.1859653370359
"Alphaville","Zip  18847",0,164039,15.7878663013531,33.940848349102
"Belleville","14572",1,57290,-8.64294080961391,-30.9731987567578
"Ebbing","Zip  14669",0,83511,7.16116221905405,16.3655272628185
"Dogville","16804",0,25764,2.76645983229618,19.2677070423639
"Alphaville","ZIP:  17740",0,164039,17.6777910435235,44.3866660134694
"Flagstone","ZIP:  14229",1,106161,-10.8850398317742,7.95609087250682
"Castle Rock","ZIP is  16981",1,65658,-9.23608824269378,-21.7106521263892
"Flagstone","Zip  18040",1,106161,-13.0029157155747,-16.8280752851586
"Krasnoy","Zip  16781",1,113419,-15.0943622067514,-39.0665349656626
"Dogville","16580",0,25764,2.448663905936,13.1040639342108
"Ebbing","14933",0,83511,6.39670517387042,14.1904187382631
"Ebbing","18855",0,83511,6.72809808851435,8.32853427113579
"Hilltop","ZIP:  18342",1,15690,-4.03924878648379,-13.9231781367244
"Belleville","ZIP:  14725",1,57290,-7.86951627622252,-9.28896639083414
"Alphaville","Zip  14924",0,164039,17.6861658345594,39.4805751384665
"Belleville","Zip  17534",1,57290,-7.50770267133229,-10.3706756077045
"Flagstone","Zip  15296",1,106161,-13.4673917284899,-24.7129757390963
"Ebbing","Zip  18753",0,83511,9.42058635370772,38.9177905035083
"Alphaville","ZIP is  17790",0,164039,16.077812482442,33.3293165200153
"Ebbing","ZIP is  16480",0,83511,8.30789573671892,22.1031301722475
"Belleville","ZIP is  17343",1,57290,-7.53451271682437,-4.07622079399457
"Alphaville","ZIP is  18504",0,164039,15.5154770275055,21.620532056068
"Ebbing","ZIP is  16838",0,83511,7.1837749251059,7.38936020019448
"Castle Rock","Zip  15198",1,65658,-8.78875268201541,-13.2041474817881
"Belleville","ZIP is  18947",1,57290,-8.0870052784319,-15.2511953047239
"Innsmouth","ZIP is  16447",1,51682,-7.54952531909053,-14.7783925375762
"Belleville","Zip  18203",1,57290,-8.52313638766751,-25.7391749547781
"Alphaville","16428",0,164039,16.0790688435165,34.0003839481553
"Innsmouth","17232",1,51682,-8.08448931107799,-22.4746547061279
"Gravity Falls","ZIP is  14860",1,24649,-4.3332408145266,-7.22933906823471
"Krasnoy","ZIP:  16823",1,113419,-12.7001803853137,-13.3396939605758
"Krasnoy","ZIP is  14848",1,113419,-12.2500705266628,-8.67420980627574
"Janestown","ZIP is  15106",1,3092,-3.33430390453449,-14.0596173573332
"Janestown","ZIP is  16558",1,3092,-2.88914263348252,-15.618489715589
"Innsmouth","ZIP is  17441",1,51682,-7.5286441910758,-8.78052099181855
"Janestown","ZIP is  15607",1,3092,-1.41288402705434,1.26578453767137
"Janestown","ZIP:  18114",1,3092,-2.55967793050578,-9.38982866786755
"Castle Rock","Zip  16649",1,65658,-8.2572128197632,-12.8075759545951
"Janestown","Zip  16485",1,3092,-0.858595696218508,11.0654831857193
"Castle Rock","Zip  15669",1,65658,-9.26203228318417,-17.8494213176152
"Alphaville","ZIP:  18038",0,164039,17.6778954773342,45.0937277946539
"Belleville","14230",1,57290,-7.79599448770877,-9.03125813485827
"Castle Rock","Zip  15636",1,65658,-7.97110391437196,-11.6354881997324
"Janestown","17311",1,3092,-1.81443551059064,1.08646082134576
"Alphaville","ZIP is  15811",0,164039,15.5370299931762,19.9169701678285
"Alphaville","14060",0,164039,17.6389743530049,42.4583983554634
"Alphaville","17706",0,164039,14.9713675681875,19.7204824130248
"Innsmouth","ZIP is  14415",1,51682,-6.3384925000823,0.715466435528018
"Innsmouth","ZIP is  17093",1,51682,-5.72864670984008,2.21855170863876
"Belleville","18311",1,57290,-8.83710199693532,-18.9957148664403
"Belleville","Zip  18798",1,57290,-5.54775732160406,8.33215295878716
"Ebbing","ZIP:  17397",0,83511,8.72742833545193,36.8752536267971
"Gravity Falls","ZIP:  14571",1,24649,-3.25600217657286,-1.83624320223876
"Flagstone","ZIP is  14317",1,106161,-14.1356670762677,-26.8912477805147
"Janestown","Zip  15518",1,3092,-2.51554823401421,-8.21933604299484
"Alphaville","ZIP:  15038",0,164039,18.1347228448111,48.0251891887427
"Belleville","Zip  14361",1,57290,-7.10168187257318,-1.00557385894813
"Castle Rock","ZIP:  18128",1,65658,-10.8908673732829,-23.3399748403368
"Ebbing","Zip  18016",0,83511,5.99426220035914,-1.25385523116401
"Alphaville","14885",0,164039,17.1212571872429,44.0919979908938
"Krasnoy","Zip  18169",1,113419,-13.5778253266239,-12.2014968337147
"Alphaville","ZIP is  16070",0,164039,15.1922080338458,23.9162604389967
"Gravity Falls","ZIP:  15957",1,24649,-4.28884758981786,-8.94241708948793
"Gravity Falls","14255",1,24649,-4.10365218976186,-5.43011662356563
"Castle Rock","18775",1,65658,-10.0131046555279,-31.0363572488533
"Alphaville","Zip  16062",0,164039,15.4967538027291,14.7371091470728
"Belleville","ZIP:  16458",1,57290,-8.22722162122081,-7.17065147131458
