"Location","zipcode","rent"
"Krasnoy","ZIP is  17383",-0.447312744997536
"Gravity Falls","15282",-0.543240915602718
"Krasnoy","Zip  16954",0.0822685441193629
"Ebbing","16696",-1.7994243584444
"Alphaville","ZIP is  17313",-1.97548657243612
"Flagstone","Zip  18131",0.307279575884372
"Hilltop","Zip  18389",-1.94524924254212
"Alphaville","ZIP is  15035",-1.9178916745628
"Krasnoy","ZIP is  15793",0.543721993636248
"Alphaville","Zip  14628",-2.06234491672035
"Alphaville","ZIP:  16475",-0.633599268728046
"Gravity Falls","Zip  15812",-0.566050895137989
"Hilltop","ZIP is  15481",0.41728470738831
"Castle Rock","ZIP:  16686",-2.31423346225555
"Innsmouth","ZIP is  15234",-0.182725117975888
"Dogville","ZIP is  17067",-2.12030852802865
"Dogville","ZIP is  15754",-3.39547323782583
"Gravity Falls","16421",-0.910784901054957
"Flagstone","ZIP is  16103",1.09257337907126
"Janestown","Zip  17734",-1.60240689248586
"Gravity Falls","18442",0.224699558149684
"Janestown","18614",-0.14540534845663
"Dogville","18416",-1.03235735538632
"Gravity Falls","16821",-0.0580612260294926
"Gravity Falls","Zip  14347",0.288874071306812
"Hilltop","Zip  16320",1.34302023636266
"Castle Rock","ZIP:  15500",-0.0689763852070828
"Hilltop","16040",1.7812788259499
"Dogville","ZIP is  14283",-2.60457490854079
"Dogville","ZIP is  15813",-0.523890522890306
"Alphaville","ZIP:  15696",-0.570600642490065
"Gravity Falls","15158",0.263786156578874
"Alphaville","ZIP:  15680",-1.56975172888528
"Krasnoy","18851",0.997495813218487
"Krasnoy","ZIP is  15255",1.04214028447445
"Gravity Falls","14893",1.7435439442266
"Dogville","ZIP is  18014",0.13844334318637
"Alphaville","Zip  15681",-3.67003805324032
"Hilltop","ZIP is  16297",2.54672344522627
"Janestown","14468",0.251111581497362
"Hilltop","14442",0.165636844007818
"Dogville","ZIP:  14173",-0.938105048505997
"Belleville","ZIP:  16219",-0.318550195651033
"Hilltop","ZIP is  18898",0.70652497619161
"Flagstone","ZIP is  18585",-0.407880295596134
"Ebbing","16550",-0.415276857492701
"Belleville","ZIP:  17312",0.780961597279165
"Janestown","Zip  15974",0.119912969268673
"Dogville","Zip  14496",-1.89969990419011
"Castle Rock","Zip  16622",1.19707928100728
"Castle Rock","Zip  16768",1.23650471871033
"Krasnoy","15656",1.18369941124208
"Castle Rock","ZIP:  14932",1.67195131649118
"Castle Rock","15247",-0.67371740951537
"Krasnoy","ZIP:  18652",0.283828688371617
"Alphaville","16965",-0.673100076138032
"Krasnoy","18747",1.11327552105008
"Janestown","ZIP is  16473",3.97820148754451
"Alphaville","Zip  17777",-2.42545395014855
"Gravity Falls","ZIP is  18301",3.01784679812888
"Dogville","ZIP is  17823",-1.5480958903807
"Ebbing","14815",-1.69414690699029
"Dogville","14682",-0.423981284207211
"Belleville","ZIP:  16744",-0.25005243659983
"Krasnoy","14836",0.537371988496865
"Belleville","ZIP is  14983",0.0892863716098751
"Janestown","14189",-1.07032722427927
"Janestown","ZIP:  16216",1.11647222681526
"Alphaville","ZIP:  18937",-0.308797399151289
"Alphaville","ZIP is  15315",-0.19160687260398
"Innsmouth","ZIP:  18824",-0.843513729092124
"Belleville","ZIP is  16675",0.745936517440382
"Belleville","14139",0.90128969472446
"Flagstone","Zip  14904",-0.00653046354645515
"Janestown","ZIP is  14127",0.392458287208119
"Innsmouth","ZIP is  17652",-1.93369415691542
"Belleville","Zip  15200",0.0378619539894485
"Hilltop","Zip  17520",-0.538842831089982
"Flagstone","18827",0.413142152886472
"Krasnoy","ZIP:  17129",1.9165394147619
"Hilltop","18281",0.577486840356992
"Castle Rock","14788",0.869166979791532
"Castle Rock","17907",0.0736208691537632
"Alphaville","18784",-1.59213536027837
"Dogville","Zip  16759",-1.14629707373511
"Hilltop","16031",0.759631688163378
"Gravity Falls","ZIP is  14134",1.5396352535775
"Castle Rock","ZIP is  16933",0.306585525253556
"Dogville","ZIP is  15685",-1.00058497098227
"Flagstone","ZIP is  17823",0.938558566955176
"Krasnoy","ZIP is  18301",-0.969616007718298
"Belleville","ZIP:  17287",1.39449221164237
"Flagstone","Zip  16132",2.66481483902696
NA,NA,-0.884578457154942
"Ebbing","Zip  15996",-1.00945337068542
"Castle Rock","14606",-0.133810978162217
"Janestown","ZIP is  17330",1.67582556708439
"Hilltop","ZIP is  18881",0.964318873327515
"Belleville","ZIP is  14099",-0.133340994460309
"Hilltop","ZIP is  15580",-0.682853148221042
"Janestown","ZIP:  15912",0.460352669821593
"Belleville","15153",1.37401595469561
"Castle Rock","Zip  15513",-0.810559270687021
"Krasnoy","16433",-0.177079784037943
"Belleville","Zip  15073",1.14252786859276
"Gravity Falls","ZIP is  17836",0.0443175911174556
"Belleville","ZIP is  17054",-1.53737882383755
"Janestown","Zip  18200",0.884630759586884
"Ebbing","15801",-2.51997429131404
"Alphaville","ZIP is  17110",-1.31348378894716
"Janestown","17286",0.59610760388789
"Innsmouth","15829",0.750371728324867
"Belleville","ZIP:  15262",-0.201309051153643
"Belleville","ZIP:  17061",2.10714344001809
"Ebbing","ZIP:  15726",-1.01596831477035
"Flagstone","Zip  16789",0.48801229875014
"Ebbing","Zip  16729",-1.17988045724889
"Flagstone","ZIP:  15225",-1.14085335372355
"Hilltop","ZIP:  14065",0.0688973126706406
"Janestown","ZIP is  17233",0.447705187355437
"Ebbing","ZIP:  14310",-0.974617165862214
"Krasnoy","Zip  14264",1.6743545681977
"Hilltop","18573",-0.839347760793917
"Dogville","ZIP:  16219",-1.58314822418434
"Janestown","14240",-0.398078685843145
"Flagstone","ZIP:  14991",0.893770401011522
"Ebbing","15016",-0.952081421393555
"Hilltop","ZIP is  15522",0.114089305643831
"Castle Rock","Zip  18332",1.52944529497476
"Hilltop","ZIP:  17889",0.36463964930138
"Flagstone","16390",-0.225526314578913
"Alphaville","15639",-1.33446515013647
"Janestown","ZIP is  14147",0.23225035144921
"Alphaville","ZIP:  15905",-1.00726387950732
"Ebbing","ZIP:  15732",1.31889392405272
"Krasnoy","ZIP:  14071",-0.14737133325993
"Flagstone","18327",-0.00249031967914637
"Belleville","ZIP is  18017",0.660270313222938
"Janestown","ZIP:  18310",-0.0814127619133838
"Castle Rock","Zip  14821",1.41090175151525
"Krasnoy","ZIP is  17981",0.215096946124651
"Hilltop","ZIP is  15569",-0.123862702287765
"Hilltop","ZIP is  17100",-0.0163626583489722
"Alphaville","ZIP:  18711",-1.25608851449141
"Castle Rock","ZIP is  15046",-1.94901485984028
"Krasnoy","17857",0.110911507060215
"Alphaville","ZIP:  15912",-1.33442527316742
"Flagstone","Zip  17317",0.600428792603531
"Janestown","Zip  18553",2.27323112291259
"Castle Rock","Zip  17435",1.60796108104695
"Innsmouth","18843",2.66960566625102
"Innsmouth","14235",-0.186449393502833
"Dogville","18248",-1.41437348505254
"Alphaville","17959",-0.379881569463517
"Innsmouth","Zip  17759",0.910071813362113
"Castle Rock","ZIP:  15718",1.43616297180661
"Belleville","ZIP is  14988",-0.0769294478679581
"Janestown","18705",1.09182663601875
"Flagstone","ZIP:  16342",-0.138157159180107
"Dogville","ZIP:  16014",-2.08642473955251
"Belleville","14927",1.8285877596507
"Flagstone","Zip  14433",-2.6596409753135
"Hilltop","ZIP:  16887",2.25343511747738
"Ebbing","18631",-2.61885191459516
"Gravity Falls","ZIP:  15543",-0.186041859148209
"Belleville","14541",0.702174327411953
"Gravity Falls","Zip  14622",1.76976949653743
"Alphaville","ZIP:  18168",-0.765989707043389
"Belleville","ZIP:  18324",-0.244986572635028
"Gravity Falls","Zip  17239",0.166860829512418
"Janestown","17201",-2.52303612286464
"Flagstone","ZIP:  18461",1.59462950567352
"Castle Rock","Zip  17340",-0.241835729076735
"Krasnoy","Zip  16335",0.367172509825732
"Ebbing","Zip  15368",0.585280168019795
"Hilltop","Zip  16106",1.79726951973767
"Belleville","17715",1.69030033638311
"Innsmouth","Zip  15222",0.86162105898836
"Alphaville","Zip  16747",-3.52650306150196
"Hilltop","14189",0.510688680398306
"Dogville","ZIP:  14666",-1.60416534520467
"Dogville","Zip  14535",-0.0919368391214959
"Castle Rock","17985",1.21897734196636
"Innsmouth","ZIP:  16915",1.55350345251403
"Dogville","ZIP:  16512",-1.39851224395128
"Gravity Falls","ZIP:  16565",-1.32674097133251
"Alphaville","ZIP is  14793",-2.68722824023927
"Hilltop","ZIP is  18329",0.894855108930832
"Alphaville","14002",-0.90917067335826
"Belleville","Zip  14869",-0.781007859519358
"Flagstone","Zip  18571",0.492357572475317
"Janestown","ZIP is  16392",-0.471159308861741
"Alphaville","ZIP is  18819",-2.94838673025672
"Castle Rock","ZIP is  16244",-0.353177623334696
"Innsmouth","ZIP:  15539",1.50453226339326
"Janestown","ZIP:  18790",0.515292722033832
"Innsmouth","ZIP is  14422",0.577811714237262
"Ebbing","Zip  18200",-2.16614141373175
"Dogville","Zip  16106",-3.3017336536389
"Innsmouth","ZIP is  15394",0.777243397683705
"Castle Rock","Zip  14583",1.73251011250776
"Castle Rock","ZIP:  16469",-0.587940009481522
"Flagstone","ZIP is  15323",0.813923386646056
"Dogville","ZIP:  14311",-2.3452020410909
"Janestown","17166",-0.200647533912037
"Ebbing","ZIP is  16778",-1.74093592854705
"Castle Rock","ZIP:  15962",1.55632055694742
"Janestown","Zip  16508",0.459275522964611
"Hilltop","ZIP:  16425",0.0704744423828076
"Hilltop","16101",-0.648736011043956
"Flagstone","Zip  15566",-0.035542954449036
"Dogville","ZIP is  15756",0.472723883572217
"Gravity Falls","Zip  17908",0.455032301312177
"Ebbing","ZIP:  18872",-2.25152588181384
"Alphaville","15130",-0.317840560146561
"Gravity Falls","Zip  17399",0.468279213500327
"Janestown","14073",0.541392027072854
"Janestown","ZIP is  15486",0.718909313763163
"Dogville","ZIP is  18420",-0.198787564162807
"Innsmouth","Zip  17145",1.97423247954481
"Gravity Falls","ZIP:  14969",1.41690968356963
"Belleville","ZIP is  16778",1.57523515859951
"Dogville","16637",1.82198075771506
"Ebbing","14935",1.0714686475503
"Innsmouth","14663",0.489766363232499
"Innsmouth","ZIP:  16728",0.763876300102359
"Flagstone","ZIP is  16626",-0.107784868365456
"Hilltop","15180",2.71891734077162
"Ebbing","14480",-1.65862616397039
"Janestown","ZIP is  18090",-0.817097453069892
"Belleville","18500",-1.34810876485579
"Hilltop","ZIP is  17063",0.943661020113248
"Castle Rock","15125",-1.24118157128611
"Dogville","Zip  16230",-1.36421972917572
"Castle Rock","ZIP:  17866",0.293546268281888
"Belleville","14465",-0.689814999748154
"Krasnoy","ZIP:  14455",0.41986161618834
"Belleville","ZIP:  15356",-1.05966217431137
"Hilltop","ZIP is  16892",-1.31844028045313
"Alphaville","18847",-1.35009241532879
"Belleville","14572",2.54610559634955
"Ebbing","14669",-0.463602574311166
"Dogville","Zip  16804",-1.30206915550141
"Alphaville","Zip  17740",-2.54189796509523
"Flagstone","Zip  14229",-2.02393918994245
"Castle Rock","16981",1.48930102742137
"Flagstone","Zip  18040",0.473640222750661
"Krasnoy","ZIP is  16781",2.8984693461203
"Dogville","ZIP:  16580",-0.729521477132709
"Ebbing","ZIP is  14933",-0.204703795766524
"Ebbing","Zip  18855",0.315224682924539
"Hilltop","ZIP is  18342",1.25491825782134
"Belleville","Zip  14725",0.459323726880124
"Alphaville","14924",-2.01213245948136
"Belleville","ZIP:  17534",0.504272172021429
"Flagstone","ZIP:  15296",1.47411120689039
"Ebbing","Zip  18753",-2.76137373641709
"Alphaville","Zip  17790",-1.31530061011565
"Ebbing","ZIP:  16480",-0.839603849219945
"Belleville","17343",-0.239207181521117
"Alphaville","ZIP is  18504",-0.195060205166218
"Ebbing","ZIP is  16838",0.428700700380158
"Castle Rock","Zip  15198",0.658632554491017
"Belleville","ZIP is  18947",0.864379625674031
"Innsmouth","ZIP is  16447",1.05462926502557
"Belleville","18203",2.14966676050124
"Alphaville","ZIP is  16428",-1.34408029443376
"Innsmouth","ZIP is  17232",1.67974483779954
"Gravity Falls","ZIP:  14860",0.619428337039275
"Krasnoy","Zip  16823",0.225255098404058
"Krasnoy","ZIP is  14848",-0.27158259476314
"Janestown","ZIP:  15106",1.45428025331312
"Janestown","Zip  16558",1.60907138717875
"Innsmouth","ZIP:  17441",0.350732426844595
"Janestown","ZIP is  15607",-0.202979044635142
"Janestown","Zip  18114",0.873043414564062
"Castle Rock","16649",0.625488428204698
"Janestown","ZIP is  16485",-1.28320786591021
"Castle Rock","15669",1.26773336243264
"Alphaville","18038",-2.66769642008643
"Belleville","ZIP is  14230",0.320429819836144
"Castle Rock","Zip  15636",0.482650357894712
"Janestown","17311",-0.0548436047672878
"Alphaville","ZIP is  15811",-0.0791341469119288
"Alphaville","14060",-2.10990994457293
"Alphaville","ZIP is  17706",-0.0471349564420269
"Innsmouth","ZIP:  14415",-0.47876855558303
"Innsmouth","Zip  17093",-0.565032034879984
"Belleville","ZIP is  18311",1.30071191937697
"Belleville","ZIP is  18798",-1.47013491677207
"Ebbing","ZIP:  17397",-2.56169285414528
"Gravity Falls","ZIP:  14571",-0.048322038251198
"Flagstone","ZIP:  14317",1.60234270787026
"Janestown","ZIP is  15518",0.840343915535735
"Alphaville","ZIP is  15038",-2.76762393280833
"Belleville","ZIP:  14361",-0.37834742987308
"Castle Rock","Zip  18128",1.79493392343347
"Ebbing","ZIP is  18016",1.24514366305336
"Alphaville","ZIP is  14885",-2.41568006635905
"Krasnoy","18169",0.133364984255707
"Alphaville","ZIP is  16070",-0.186937107628853
"Gravity Falls","ZIP:  15957",0.645760841274687
"Gravity Falls","Zip  14255",0.251622134125958
"Castle Rock","ZIP is  18775",2.38660881248973
"Alphaville","ZIP:  16062",0.36710667070001
"Belleville","16458",0.223229409537342
"Hilltop","ZIP:  16679",0.347387555897076
"Dogville","15848",-1.53627726118002
"Janestown","ZIP is  15046",0.741674821828633
"Hilltop","ZIP:  16950",2.12860762276744
"Flagstone","ZIP:  15747",0.69047951532256
"Janestown","ZIP is  17023",0.0364435439921038
"Janestown","ZIP is  18659",1.12049805903393
"Janestown","ZIP:  18797",0.936469783017385
"Gravity Falls","ZIP:  16190",0.513910339843565
"Innsmouth","ZIP:  17757",-0.859340361405717
"Gravity Falls","ZIP:  15071",2.16724166288389
"Krasnoy","ZIP is  14777",1.06213505023204
"Belleville","ZIP:  17495",-0.252859611782037
"Castle Rock","18860",1.55660170743195
"Hilltop","Zip  16857",-0.964012348210795
"Janestown","ZIP:  15117",0.609969147567826
"Ebbing","Zip  18025",-2.59888930545858
"Ebbing","14715",-0.4987448503035
"Innsmouth","17314",1.19147306828944
"Krasnoy","ZIP:  16957",0.348064262946393
"Innsmouth","ZIP:  18864",-0.922542640361683
"Innsmouth","ZIP is  15405",0.953901584228172
"Gravity Falls","Zip  16150",0.966060511050207
"Castle Rock","ZIP:  16960",-0.547098048479976
"Dogville","18317",-2.24829018176669
"Alphaville","Zip  14683",-1.4912811447322
"Ebbing","ZIP:  15747",-1.19114999457089
"Castle Rock","18905",-0.18869320657228
"Janestown","Zip  14260",-2.59714495583607
"Hilltop","Zip  16784",1.15146368099408
"Ebbing","Zip  17117",-1.08644091890547
"Castle Rock","ZIP is  14331",0.726979530669971
"Dogville","Zip  15578",-2.02929088735157
"Flagstone","Zip  14492",-0.943599239296635
"Flagstone","ZIP:  18326",0.513389450575274
"Flagstone","Zip  17269",1.17130316045902
"Castle Rock","16491",-0.526332297245584
"Hilltop","16085",-0.975308055545646
"Castle Rock","Zip  17036",1.54494779140255
"Hilltop","Zip  15764",1.7655733879486
"Castle Rock","ZIP:  18300",0.267994451106286
"Belleville","ZIP:  16097",-0.0373950135452199
"Krasnoy","ZIP is  16235",1.88895240813136
"Dogville","Zip  17708",-0.417291079921102
"Alphaville","15441",-2.55617269685173
"Krasnoy","16924",0.295094177629453
"Flagstone","16824",0.21892192749863
"Flagstone","16177",1.37668675789016
"Janestown","14804",1.1582789828248
"Innsmouth","ZIP:  17223",1.34863787773345
"Flagstone","Zip  17244",0.209470443517041
"Alphaville","ZIP is  17450",-2.68023186650517
"Krasnoy","Zip  17988",-0.0796818981390612
"Dogville","18509",-2.5013577456848
"Belleville","ZIP is  16339",2.71411280193049
"Belleville","ZIP is  18724",-1.45960111613576
"Krasnoy","Zip  17776",0.164450089622677
"Flagstone","ZIP is  17279",-0.579214750309086
"Alphaville","Zip  17752",-0.560627083084436
"Dogville","Zip  15182",-1.20742009381055
"Ebbing","16390",1.20175300480796
"Flagstone","ZIP is  17542",2.14844377837839
"Flagstone","ZIP is  14378",0.982639325093329
"Dogville","ZIP:  16020",-0.842387946155332
"Ebbing","Zip  14203",-1.09525025689108
"Castle Rock","ZIP is  16437",-0.301968416431809
"Janestown","ZIP is  16814",0.355415482363298
"Ebbing","ZIP is  18441",-1.64862736774045
"Innsmouth","16452",1.00468671226847
"Alphaville","ZIP is  15659",-3.03741632846084
"Castle Rock","ZIP is  17303",-0.365654362196838
"Janestown","16568",1.07168571595284
"Hilltop","16072",1.80668311154924
"Castle Rock","ZIP:  15564",-0.470114186044638
"Flagstone","ZIP:  15864",0.822366943348607
"Krasnoy","Zip  15555",2.02744891498598
"Innsmouth","ZIP:  17170",0.779442756268152
"Belleville","ZIP is  15768",2.56761743043106
"Alphaville","ZIP:  15761",-1.63123419492048
"Dogville","14727",-2.4364115829565
"Hilltop","Zip  16522",0.484175782627675
"Krasnoy","ZIP:  18664",2.03127502246427
"Hilltop","14943",-0.380123168187439
"Alphaville","ZIP is  15863",0.512183065284704
"Hilltop","Zip  14702",0.515283780808862
"Gravity Falls","ZIP:  14397",1.37875850986885
"Janestown","ZIP is  14200",0.264753605137497
"Innsmouth","17748",1.16510484076322
"Castle Rock","ZIP:  17999",-0.0950986864874492
"Innsmouth","16886",-1.30672857541253
"Dogville","16084",-0.855468588532778
"Castle Rock","14995",1.92708467576843
"Gravity Falls","14632",-0.406600659490758
"Belleville","ZIP is  16813",-1.45401852594559
"Castle Rock","ZIP is  18688",2.48235767120223
"Belleville","Zip  15161",0.317673953390928
"Krasnoy","Zip  17991",2.58025090641572
"Ebbing","ZIP is  18866",-2.08110748136729
"Flagstone","14905",-0.630851973846758
"Ebbing","Zip  16128",-1.96742533952005
"Alphaville","ZIP:  18785",-1.57220985012571
"Innsmouth","Zip  14508",2.3793428582432
"Innsmouth","16904",-0.324257652705036
"Gravity Falls","Zip  15631",1.91096830781916
"Castle Rock","16452",1.82010286938709
"Janestown","18590",0.78614429802172
"Alphaville","ZIP:  16960",-0.290409839730801
"Krasnoy","Zip  17692",1.55339367485046
"Krasnoy","17438",0.547272556682326
"Flagstone","ZIP:  18325",-0.903380679471194
"Belleville","ZIP:  14694",0.389403582020597
"Ebbing","ZIP:  16367",-4.68659303636258
"Innsmouth","ZIP is  14920",-2.45723280496734
"Castle Rock","14118",-1.42149926674935
"Dogville","ZIP is  14026",-0.760466382035747
"Hilltop","ZIP:  15097",-0.765187632964887
"Flagstone","ZIP is  14304",3.83270612131219
"Gravity Falls","ZIP:  18293",-0.0317808101632955
"Innsmouth","Zip  15200",1.22884189165758
"Ebbing","ZIP is  16321",-0.206723642004111
"Flagstone","ZIP is  14509",-0.355648790952318
"Hilltop","ZIP:  18028",1.44501078455137
"Belleville","ZIP is  15300",-0.0561253019636292
"Innsmouth","ZIP is  14094",1.58409720619784
"Janestown","14348",0.393200479195317
"Janestown","18815",0.627148025114977
"Castle Rock","17726",-0.0365976603845584
"Dogville","Zip  14627",-1.06819148830705
"Dogville","14756",-1.18279729464602
"Castle Rock","ZIP is  18734",-0.854023587244013
"Krasnoy","Zip  16990",0.895117944678603
"Janestown","ZIP is  18414",0.942774653090336
"Flagstone","Zip  17333",-0.835876499745832
"Hilltop","Zip  16328",0.139238257898284
"Flagstone","15644",0.680600039004278
"Innsmouth","Zip  16837",1.47071785069924
"Gravity Falls","15750",1.65401644171695
"Hilltop","Zip  16625",1.98816518348999
"Castle Rock","ZIP is  14536",0.372059229325841
"Gravity Falls","Zip  16752",-1.32498254366973
"Dogville","ZIP:  15239",-1.83962880397001
"Belleville","14961",-1.30385743531989
"Flagstone","ZIP:  16918",0.486800114139549
"Ebbing","Zip  14717",-2.62424139724998
"Gravity Falls","18827",1.09142230851257
"Castle Rock","16038",0.552189007220292
"Belleville","Zip  15524",-0.621477217814371
"Dogville","Zip  18648",-2.30881959148293
"Castle Rock","18216",1.22381764145714
"Hilltop","Zip  14175",-0.386068815247438
"Gravity Falls","Zip  17814",-0.504925571117426
"Alphaville","ZIP:  17633",-0.835353687282432
"Dogville","ZIP:  18396",-1.88368893252533
"Castle Rock","ZIP:  14000",0.0611952418424522
"Flagstone","ZIP:  16299",-1.33342360867567
"Castle Rock","17509",2.02025828808163
"Gravity Falls","Zip  16328",-0.330536401600645
"Hilltop","ZIP:  15152",0.231840589073161
"Krasnoy","15601",-0.813481979769352
"Gravity Falls","15153",-0.228241179168593
"Dogville","ZIP:  15476",-1.33805316165048
"Innsmouth","ZIP:  17808",3.20949075306852
"Dogville","18500",-1.13765362306451
"Krasnoy","15215",0.0500492397482333
"Belleville","Zip  18367",0.975005850512548
"Krasnoy","Zip  18198",-0.208561377695471
"Castle Rock","Zip  14950",-0.131758463817492
"Belleville","ZIP:  17944",1.3651984654792
"Alphaville","Zip  16636",-1.01628897336117
"Krasnoy","ZIP:  16726",1.52479566554915
"Krasnoy","18762",0.587561938510402
"Ebbing","ZIP is  18330",-2.92288015583606
"Flagstone","ZIP:  14000",1.66519681249313
"Dogville","Zip  14207",-2.22281233640446
"Belleville","ZIP:  15711",2.22737530637693
"Flagstone","Zip  18553",3.20973151151524
"Flagstone","ZIP:  16569",3.43278551588812
"Hilltop","Zip  18599",0.965181134733338
"Gravity Falls","ZIP:  18168",-1.5179505085824
"Krasnoy","Zip  17003",0.936331644581944
"Innsmouth","15448",0.463842836094467
"Hilltop","14268",0.124963518731894
"Dogville","15829",0.582691156914735
"Hilltop","ZIP:  16592",2.71963599147065
"Janestown","18238",0.284248923441975
"Gravity Falls","ZIP:  18026",-0.424553958249412
"Belleville","ZIP:  14170",1.29213077056394
"Krasnoy","Zip  17157",-0.413840695197357
"Flagstone","ZIP is  16202",-0.56683075573703
"Gravity Falls","ZIP is  18090",1.23121490789483
"Innsmouth","Zip  17901",0.0876772429828894
"Dogville","ZIP:  14032",-1.39603752305318
"Janestown","ZIP:  14602",-0.559387147039614
"Castle Rock","16652",-1.12509202774945
"Flagstone","ZIP is  15569",0.895311110324016
"Dogville","ZIP is  15796",-0.894368195408433
"Flagstone","18746",-0.397768639476653
"Flagstone","ZIP is  14134",0.558344560763233
"Belleville","Zip  17470",-1.08830753145836
"Gravity Falls","15821",1.98618926309635
"Castle Rock","ZIP:  14851",1.07871525838363
"Castle Rock","ZIP:  16342",0.88085470603475
"Belleville","Zip  16483",1.64920236478731
"Gravity Falls","ZIP is  17961",0.515141213367026
"Belleville","ZIP is  16671",-0.177378097662153
"Ebbing","ZIP:  15840",-1.64539229248107
"Hilltop","ZIP is  18491",-0.334923606832828
"Alphaville","Zip  14539",-0.869704800453886
"Krasnoy","Zip  16759",1.72844970205377
"Janestown","ZIP is  14005",0.297458885709511
"Dogville","Zip  16508",-0.915150388014613
"Dogville","Zip  17317",-1.44362809901124
"Innsmouth","ZIP:  15922",0.205847332167496
"Dogville","ZIP is  16855",-1.25433890467352
"Innsmouth","15959",0.407203485522895
"Dogville","ZIP:  18438",-1.78905324147747
"Innsmouth","ZIP is  15069",0.701840910220412
"Krasnoy","Zip  15631",0.963449477260087
"Dogville","ZIP is  18811",0.107537970748685
"Ebbing","ZIP is  15815",-1.93360414326681
"Hilltop","ZIP:  18183",2.16357963018474
"Ebbing","ZIP is  14623",-3.22794448349931
"Krasnoy","14046",-0.0878003153782745
"Dogville","Zip  16830",-2.69244106300849
"Innsmouth","ZIP is  16533",-0.46301766435103
"Flagstone","ZIP:  14688",1.0853625925524
"Belleville","Zip  16468",0.243227887637568
"Alphaville","Zip  15704",-2.61354588930024
"Innsmouth","Zip  14178",0.832837950168271
"Flagstone","Zip  17157",1.19897273061111
"Ebbing","15326",-0.105924137927633
"Innsmouth","ZIP:  15080",0.628637926675007
